Country,Variable,ModelType,Score_RMSE,Lowest_RMSE,BestPerformer
Afghanistan,E_GDPPerCapitaConstant,Quadratic,7360.073738295548,7360.073738295548,TRUE
Afghanistan,E_PovertyGap685Headcount,Cubic,289.9814172399841,289.9814172399841,TRUE
Afghanistan,E_HealthExpenditurePerCapita,Quadratic,1659.4031532144413,1659.4031532144413,TRUE
Afghanistan,E_ExportsPctOfGDP,Constant,0,0,TRUE
Afghanistan,E_GiniIndex,Quadratic,150.67144108537815,150.67144108537815,TRUE
Afghanistan,E_EducationExpenditurePctOfGDP,Quadratic,51.31485222947356,51.31485222947356,TRUE
Afghanistan,E_LaborTaxPctOfProfits,Constant,0,0,TRUE
Afghanistan,E_ConsumerPriceInflation,Quadratic,652.1076341453373,652.1076341453373,TRUE
Afghanistan,E_FemaleUnemployment,Cubic,282.0110982738437,282.0110982738437,TRUE
Afghanistan,E_ImportsPctOfGDP,Constant,0,0,TRUE
Afghanistan,P_GovernmentEffectiveness,Cubic,4.511948596328865,4.511948596328865,TRUE
Afghanistan,P_ControlOfCorruption,Cubic,9.293030215416138,9.293030215416138,TRUE
Afghanistan,P_RuleOfLaw,Quadratic,10.073029995592243,10.073029995592243,TRUE
Afghanistan,P_CleanElectionsIndex,Cubic,2.3353660206916014,2.3353660206916014,TRUE
Afghanistan,S_AccessToCleanFuelsPctOfTotal,Cubic,23.474717766576646,23.474717766576646,TRUE
Afghanistan,S_UrbanPopPctOfTotal,Cubic,2.0370217350526536,2.0370217350526536,TRUE
Afghanistan,S_AccessToElectricityPctOfTotal,Cubic,788.9818004730239,788.9818004730239,TRUE
Afghanistan,S_UpperSecEduPctOfTotal,Quadratic,170.134135482595,170.134135482595,TRUE
Afghanistan,S_CompulsoryEducationYears,Constant,0,0,TRUE
Afghanistan,S_LaborParticipRateFemale,Cubic,155.60303264103825,155.60303264103825,TRUE
Afghanistan,S_PopulationAged14OrLess,Quadratic,1260847.9782036534,1260847.9782036534,TRUE
Afghanistan,V_CO2PerCapita,Quadratic,4.231582348527266,4.231582348527266,TRUE
Afghanistan,V_FertilizerUseKgPerHectare,Cubic,374.3060432233366,374.3060432233366,TRUE
Afghanistan,V_AgriculturalLandPctOfTotal,Cubic,6.45872387149898,6.45872387149898,TRUE
Afghanistan,V_ForestAreaPctOfTotal,Constant,0,0,TRUE
Afghanistan,H_AirPollutionMeanExpPctOfPop,Quadratic,266.2164364754902,266.2164364754902,TRUE
Afghanistan,H_TotalSuicideRate,Quadratic,8.278286872144005,8.278286872144005,TRUE
Albania,E_GDPPerCapitaConstant,Cubic,31505.6618913017,31505.6618913017,TRUE
Albania,E_PovertyGap685Headcount,Quadratic,349.73929955139096,349.73929955139096,TRUE
Albania,E_HealthExpenditurePerCapita,Cubic,2013.3665067352429,2013.3665067352429,TRUE
Albania,E_ExportsPctOfGDP,Cubic,277.9703636244851,277.9703636244851,TRUE
Albania,E_GiniIndex,Cubic,155.41306111434977,155.41306111434977,TRUE
Albania,E_EducationExpenditurePctOfGDP,Cubic,23.467386021181795,23.467386021181795,TRUE
Albania,E_LaborTaxPctOfProfits,Cubic,236.72729322905974,236.72729322905974,TRUE
Albania,E_ConsumerPriceInflation,Cubic,106.25243568658512,106.25243568658512,TRUE
Albania,E_FemaleUnemployment,Cubic,141.4472351594502,141.4472351594502,TRUE
Albania,E_ImportsPctOfGDP,Cubic,234.77161333126926,234.77161333126926,TRUE
Albania,P_GovernmentEffectiveness,Cubic,9.175792992400606,9.175792992400606,TRUE
Albania,P_ControlOfCorruption,Quadratic,8.49496691756123,8.49496691756123,TRUE
Albania,P_RuleOfLaw,Quadratic,7.741163034005807,7.741163034005807,TRUE
Albania,P_CleanElectionsIndex,Cubic,0.9173610355289358,0.9173610355289358,TRUE
Albania,S_AccessToCleanFuelsPctOfTotal,Cubic,15.655378037180096,15.655378037180096,TRUE
Albania,S_UrbanPopPctOfTotal,Cubic,3.0976604197984323,3.0976604197984323,TRUE
Albania,S_AccessToElectricityPctOfTotal,Quadratic,4.7810172526184,4.7810172526184,TRUE
Albania,S_UpperSecEduPctOfTotal,Quadratic,74.79358833544802,74.79358833544802,TRUE
Albania,S_CompulsoryEducationYears,Cubic,21.311506812186597,21.311506812186597,TRUE
Albania,S_LaborParticipRateFemale,Quadratic,260.40647140280214,260.40647140280214,TRUE
Albania,S_PopulationAged14OrLess,Quadratic,476721.165928222,476721.165928222,TRUE
Albania,V_CO2PerCapita,Cubic,9.305046233959615,9.305046233959615,TRUE
Albania,V_FertilizerUseKgPerHectare,Quadratic,1202.9409141913486,1202.9409141913486,TRUE
Albania,V_AgriculturalLandPctOfTotal,Quadratic,57.151923211751,57.151923211751,TRUE
Albania,V_ForestAreaPctOfTotal,Cubic,1.8843513322615815,1.8843513322615815,TRUE
Albania,H_AirPollutionMeanExpPctOfPop,Cubic,79.38902547918991,79.38902547918991,TRUE
Albania,H_TotalSuicideRate,Cubic,53.87762459857151,53.87762459857151,TRUE
Algeria,E_GDPPerCapitaConstant,Quadratic,20102.842272599617,20102.842272599617,TRUE
Algeria,E_PovertyGap685Headcount,Quadratic,504.4108591268566,504.4108591268566,TRUE
Algeria,E_HealthExpenditurePerCapita,Quadratic,3627.9442175175946,3627.9442175175946,TRUE
Algeria,E_ExportsPctOfGDP,Cubic,320.49570865267117,320.49570865267117,TRUE
Algeria,E_GiniIndex,Quadratic,158.52912715332462,158.52912715332462,TRUE
